Title,Description,Date,Source
Cimsa Sabancı Cement'te sermaye artışı kararı,"Sabancı Holding, Cimsa Sabancı Cement BV'de sermaye artışı kararı alındığını açıkladı.",2022-10-31,BloombergHT
Lula'nın galibiyeti sonrası bankalar Brezilya varlıklarına dönmeyi planlıyor,Brezilya'da devlet başkanlığı seçimlerinden eski başkan Lula'nın galip ayrılması çevre hassasiyeti olan fonların Brezilya varlıklarına dönmesine yol açıyor. Kuzey Avrupa'nın en büyük bankalarından biri olan Nordea da Brezilya tahvillerine yönelik yatırım kısıtlamasını kaldırabileceğini belirtti.,2022-10-31,BloombergHT
Ziraat ile Demirören arasında gayrimenkul protokolü,"Ziraat Gayrimenkul Yatırım Ortaklığı, Ziraat Bankası A.Ş. ile Demirören Medya Yatırımları Ticaret A.Ş. arasında gayrimenkul devri ve proje geliştirilmesine dair işbirliği protokolü imzalandığını duyurdu.",2022-10-31,BloombergHT
Japonya'dan nadir element atağı,"Japonya, akıllı telefonlardan silahlara bir çok sektörde Çin hakimiyetine son vermek için denizin 6 bin metre altında nadir toprak elementlerini arıyor.",2022-10-31,BloombergHT
Bankalar yüksek risk ağırlığına rağmen büyüklere krediyi kesmedi,"Bankalar, yürürlüğe giren düzenlemelere rağmen, portföylerinde önemli bir yere sahip olan büyük şirketlere kredi vermeyi sürdürdü. Bankalar, yüzde 200 risk ağırlığıyla 288 milyar TL kredi verdi",2022-10-31,BloombergHT
OPEC küresel petrol talebi tahminini yükseltti,"Petrol İhraç Eden Ülkeler Örgütü (OPEC) yıllık Dünya Petrol Görünümü raporunda, 2035 yılı itibariyle dünya petrol tüketiminin yüzde 13 artarak günlük 109,5 milyon varil seviyesine ulaşacağını öngördü. Kurum, fosil yakıtları terk etmenin tehlikeli olacağını söyledi.",2022-10-31,BloombergHT
Japonya'dan Ekim'de yene rekor müdahale,"Japonya Maliye Bakanlığı'nın yayımladığı verilere göre yenin dolar karşısında yaşadığı keskin düşüş nedeniyle Ekim ayında 6,3 trilyon yen (42,4 milyar dolar) büyüklüğünde rekor müdahalede bulunuldu.",2022-10-31,BloombergHT
"General Motors, Twitter’daki ücretli reklamlarını durdurdu","General Motors, Tesla CEO'su Elon Musk'ın sosyal medya platformunun 44 milyar dolarlık satın alımını tamamlamasından bir gün sonra Twitter'da ücretli reklamları geçici olarak durdurdu. Şirketten yapılan açıklamada “Yeni mülkiyetleri altındaki platformun yönünü anlamak için Twitter ile etkileşim halindeyiz” ifadeleri kullanıldı.",2022-10-31,BloombergHT
Piyasa Ekim'de enflasyonda yeni zirve bekliyor,"Bloomberg HT Araştırma Birimi'nin Ekim ayı enflasyon beklenti anketi sonuçlandı. Buna göre enflasyonun aylık yüzde 3,55, yıllık yüzde 85,53 olarak gerçekleşmesi bekleniyor.",2022-10-31,BloombergHT
ILO: İşsizlik ve eşitsizlik artacak,"Uluslararası Çalışma Örgütü (ILO), küresel iş piyasasının Kovid-19 kaynaklı krizler, iklim değişikliği ve Rusya-Ukrayna savaşı nedeniyle baskı altında olduğunu belirterek, işsizlik ve eşitsizliğin artacağı uyarısında bulundu.",2022-10-31,BloombergHT
AMB Üyesinden risklere karşı 'kademeli adım' vurgusu,Avrupa Merkez Bankası Yönetim Kurulu Üyesi Ignazio Visco ekonominin karşı karşıya olduğu risklerin göz önüne alınarak rekor enflasyonla mücadelede kademeli hareket etme mesajı verdi.,2022-10-31,BloombergHT
ABD’de çalışan bağlılığı yaratamamanın yıllık maliyeti 500 milyar dolar,"İnsan kaynakları alanında yapay zeka çözümleri sunan yerli yazılım şirketi Twiser CEO'su Ongun Demirler, ABD’de çalışan bağlılığı yaratamamanın yıllık maliyetinin 500 milyar dolar olduğunu söyledi.",2022-10-31,BloombergHT
BES’in 2022 yılında tercih edilme oranı arttı,"Bloomberg HT’de yayınlanan Emeklilik Gözetim Merkezi'nin (EGM) 26 Ekim 2022 tarihli verilerine göre, katılımcı sayısının 7 milyon 703 bin olduğu gönüllü BES’te toplam fon büyüklüğü 341.6 milyar lira oldu. Devlet katkısının başlaması ile hızlı bir büyüme görülen BES’te, bu yıl başından itibaren tercih edilme oranlarının arttığı görüldü.",2022-10-31,BloombergHT
Spot piyasada elektrik fiyatları (31.10.2022),"Spot piyasada bir megavatsaat elektriğin fiyatı yarın için en yüksek 4 bin 800 lira, en düşük 1699 lira olarak belirlendi.",2022-10-31,BloombergHT
Bankacılık sektörü ilk 9 ayda kârını beş kat artırdı,"Bankacılık Düzenleme ve Denetleme Kurumu’nun verilerine göre bankacılık sektörü yılın ilk 9 ayında 286,2 milyar lira kâr elde etti.",2022-10-31,BloombergHT
İsviçre Merkez Bankası'ndan rekor zarar,"İsviçre Merkez Bankası (SNB), döviz piyasalarında yüksek dalgalanmaların etkisiyle yılın dokuz ayında 142,4 milyar İsviçre frangı (142,4 milyar dolar) zarar açıkladı.",2022-10-31,BloombergHT
Çin'deki iPhone üretiminde Kovid tehlikesi,"Dünyanın en büyük iPhone üreticisi Foxconn’un ana fabrikasındaki üretim sekteye uğrama riskiyle karşı karşıya. Foxconn hisseleri değer kaybederken, diğer tesislerin kapasitesinin arttırılabileceği açıklandı.",2022-10-31,BloombergHT
Euro Bölgesi enflasyonunda rekorlar sürüyor,"Euro Bölgesi enflasyonu Ekim'de de tırmanışını sürdürerek rekor tazeledi. Bölge ekonomisinin 3. çeyrek büyümesi de yüzde 0,2'ye geriledi. Büyümenin ivme kaybetmesi resesyon endişelerini güçlendirdi.",2022-10-31,BloombergHT
Apple'ın Çin'deki satışlarında hızlı düşüş,"Akıllı telefon pazarının çoğunlukla küresel ekonomik koşullara karşı dirençli olmasına karşın, Çin'de haftalık iPhone satışlarında yaşanan hızlı düşüş Apple için daha büyük zorluklara işaret edebilir.",2022-10-31,BloombergHT
İş Bankası/Aran: Kredi ucuzlamasına rağmen krediye erişim güçleşiyor,"İş Bankası Genel Müdürü Hakan Aran 2. Finansın Geleceği Zirvesi'nde yaptığı konuşmada ""Eğer kredi ucuzlamasına rağmen krediye erişim güçleşiyorsa bunun kimseye bir faydası yoktur. Amacımız krediyi erişilebilir kılmak, bunu yatırıma döndürmekse bu konuda sorunlarımız olduğunu ifade edeyim"" şeklinde konuştu.",2022-10-31,BloombergHT
Erdoğan: (Tahıl) Gayretimizi kararlılıkla sürdüreceğiz,"Cumhurbaşkanı Recep Tayyip Erdoğan, Rusya'nın tahıl anlaşmasını askıya almasıyla ilgili, ""Rusya, kendi açısından karar alsa da biz elimizden geleni yapmaya devam edeceğiz, insanlığa hizmet için gayretimizi kararlılıkla sürdüreceğiz"" dedi.",2022-10-31,BloombergHT
Nebati: Dijital bankacılık lisanslamalarına başladık,"""2. Finansın Geleceği Zirvesi Programı""nda konuşan Hazine ve Maliye Bakanı Nureddin Nebati, ""Dijital Bankacılık lisanslamalarına başladık. Selektif kredi politikasını istikrarlı şekilde uyguluyoruz"" dedi.",2022-10-31,BloombergHT
Küresel çip satışları 2020'den beri ilk defa düştü,"Küresel çip satışları, talebin azalmasıyla 2020’nin başından beri ilk defa düştü. Bu düşüş, çip üretiminin en büyük gelir kaynaklarından biri olan Güney Kore ekonomisi için risk oluşturuyor.",2022-10-31,BloombergHT
Morgan Stanley'den Fed tahmini,Morgan Stanley Stratejisti Michael Wilson'a göre ABD Merkez Bankası'nın faiz artışında sona yaklaşıldı.,2022-10-31,BloombergHT
Trendyol ve Kazak Big Way KZ işbirliği anlaşması imzaladı,"E-ticaret platformu Trendyol, Kazak Big Way KZ Lojistik Şirketi ile Astana’da iş birliği anlaşması imzaladı.",2022-10-31,BloombergHT
Suudilerden Credit Suisse'e ek yatırım açıklaması,"Suudi Ulusal Bankası Başkanı, Credit Suisse için yaptıkları yatırım konusunda iyimser olduklarını ancak şu an için bankaya daha fazla özkaynak eklenmesinin gündemlerinde olmadığını belirtti.",2022-10-31,BloombergHT
BDDK'nın yeni sıkılaştırma kararı yarın başlıyor,"Bankacılık Düzenleme ve Denetleme Kurumu'nun (BDDK), Kredi kullanabilecek şirketler için 15 milyon TL olan yabancı para pozisyonu sınırı 10 milyon TL’ye indirdiği kararı 1 Kasım 2022 itibariyle uygulanmaya başlıyor. Karar göre, daha önce “nakit pozisyonu aktif toplamı ya da 1 yıllık net satış hasılatından büyük olanı yüzde 10’unu geçen” şirketlere uygulanan kredi sınırlaması ise yüzde 5 olarak güncellenmişti.",2022-10-31,BloombergHT
Anlaşmanın askıya alınması buğdayın fiyatını yükseltti,"Rusya'nın Karadeniz anlaşmasını askıya aldığını duyurmasının ardından Chicago Ticaret Borsası vadeli işlemlerinde buğday kontratlarının fiyatı yüzde 5'ten fazla artarak 8,7 dolara çıktı.",2022-10-31,BloombergHT
Altında 50 senenin en uzun aylık kayıp serisi,Altın art arda yedinci ayını da kayıpla kapatmaya hazırlanırken gerçekleşmesi halinde bu 1960'ların sonundan beri en uzun kayıp serisi olacak. Fed'in yeni bir 75 baz puanlık artış yapacağı beklentisi değerli metal üzerinde baskı kurmaya devam ediyor.,2022-10-31,BloombergHT
Demir cevherinde düşüş derinleşti,Çin'de Ekim ayındaki fabrika faaliyetindeki beklenmedik düşüşün karamsar bir görünüme neden olmasıyla demir cevher fiyatları bugün yüzde 7'den fazla düşerek 2019'un başından beri en düşük seviyelere geriledi.,2022-10-31,BloombergHT
Asya borsalarına bilanço dopingi,Asya borsaları yerel bilançolara dair iyimserlikle yükseldi.,2022-10-31,BloombergHT
"Musk, Twitter'da mavi tik için aylık ücret almayı planlıyor",Twitter’ın yeni sahibi Elon Musk Twitter mavi tik sahipliğini ücretli hâle getiriyor.,2022-10-31,BloombergHT
Serbest piyasada döviz açılış fiyatları (31.10.2022),"İstanbul serbest piyasada dolar 18,6140 liradan, euro 18,5140 liradan haftaya başladı.",2022-10-31,BloombergHT
Brezilya'da devlet başkanlığı seçiminin ikinci turunu Lula da Silva kazandı,"Brezilya'da devlet başkanlığı seçiminin ikinci turunu yüzde 50,83 oy alan solcu eski Devlet Başkanı Luiz Inacio Lula da Silva kazandı.",2022-10-31,BloombergHT
Japonya'nın sanayi üretimi Eylül'de geriledi,"Eylül ayında Japonya'da sanayi üretimi yüzde 1,6 oranında düşüş gösterdi.",2022-10-31,BloombergHT
SPK Başkan Vekili Mutalip Ünal görevden alındı,Sermaye Piyasası Kurulu Başkan Vekili Mutalip Ünal ve Sermaye Piyasası Kurulu Üyesi Ali Akay görevlerinden alındı.,2022-10-31,BloombergHT
Asya hisseleri Çin PMI verisine rağmen yükseliyor,"Asya hisselerinin çoğu, Çin imalat PMI’ının beklentilerin altında kalmasının rağmen yükseliş gösterdi.",2022-10-31,BloombergHT
"Fitch, Portekiz'in kredi notunu yükseltti","Uluslararası kredi derecelendirme kuruluşu Fitch Ratings, Portekiz'in kredi notu ""BBB+""ya çıkardı, görünümünü ise “durağan” olarak teyit etti.",2022-10-31,BloombergHT
Petrol aylık bazda yükselişe ilerliyor,"Petrol, OPEC+ tarafından piyasayı sıkılaştırmaya yönelik büyük üretim kesintileri beklentisiyle Mayıs ayından bu yana ilk aylık kazancına yöneldi.",2022-10-31,BloombergHT
Çin'de imalat PMI endeksi Ekim'de daraldı,"Çin'in fabrika ve hizmet faaliyetleri, daha sıkı Kovid kısıtlamaları ve emlak piyasasında devam eden durgunluk ile dünyanın en büyük ikinci ekonomisine baskı yapmaya devam ederken, Ekim ayında daraldı.",2022-10-31,BloombergHT
Ekonomi ve siyaset gündemi - 31 Ekim 2022,Ekonomi ve siyaset gündeminde öne çıkanlar...,2022-10-31,BloombergHT
Resmi Gazete'de bugün (31.10.2022),"Resmi Gazete'de yayımlanan yönetmelik, genelge ve tebliğler...",2022-10-31,BloombergHT
Bakan Nebati: Enflasyonu dünyadaki gibi algılamıyoruz,"Hazine ve Maliye Bakanı Nureddin Nebati, Arab News'a verdiği söyleşide ""Enflasyonu dünyadaki gibi algılamıyoruz. Bunu insan temelli bir yaklaşımla görüyoruz. İnsanların işini kaybetmesini istemiyoruz"" diye konuştu.",2022-10-30,BloombergHT
Avrupa'nın şahinine göre Aralık'ta da jumbo faiz artışı masada,"Avrupa Merkez Bankası'nın şahin yöneticilerinden Klaas Knot, bankanın bir sonraki hamlesinin 50 ile 75 baz puan arasında bir artış olacağını işaret etti.",2022-10-30,BloombergHT
Ücretlerin vergilendirilmesi tebliğinde değişiklik,"Ücret gelirlerinin vergilendirilmesine yönelik tebliğde düzenleme yapıldı. Buna göre, hizmet erbabının aynı takvim yılı içinde işveren değişikliği yaptığı durumlarda, talep etmesi ve işverenin de kabul etmesi halinde, yeni işverenin eski işverendeki gelir vergisi matrahını dikkate alarak kümülatif matrah üzerinden tevkifat yapılabilmesine imkan tanındı.",2022-10-30,BloombergHT
Çin Merkez Bankası'ndan ekonomiye destek mesajı,"Çin Merkez Bankası Başkanı Yi Gang, bankanın reel ekonomiye yönelik desteğini ifade eden mesajlarına yenisini ekledi.",2022-10-30,BloombergHT
"Esnaf, perakende yasasında değişiklik istiyor","Türkiye Esnaf ve Sanatkarları Konfederasyonu (TESK) perakende yasasında değişiklik talep etti. TESK, zincir marketlerin sattıkları ürünlere sınırlama getirilmesini istiyor.",2022-10-30,BloombergHT
"Goldman, Fed faizinde zirve beklentisini güncelledi","Goldman Sachs, Fed'in politika faizinde zirvenin yüzde 5 ile Mart ayında gerçekleşeceğini öngördü.",2022-10-30,BloombergHT
İki ödeme şirketine faaliyet izni,"Türkiye Cumhuriyet Merkez Bankası (TCMB), Papel Elektronik ve Para ve Ödeme Hizmetleri ile A Ödeme ve Elektronik Para Hizmetleri’nin faaliyet iznini onayladı.",2022-10-30,BloombergHT
Resmi Gazete'de bugün (30.10.2022),"Resmi Gazete'de yayımlanan yönetmelik, genelge ve tebliğler...",2022-10-30,BloombergHT
Togg'un C-Sedan ve C-X Coupé modelleri,"Togg, C-Sedan ve C-X Coupé modellerini ilk kez paylaştı.",2022-10-29,BloombergHT
Türkiye'nin otomobili banttan indi,"Togg'un seri üretiminin yapılacağı Gemlik Kampüsündeki açılış töreninde ilk araç Cumhurbaşkanı Recep Tayyip Erdoğan tarafından üretim bandından indirildi. Erdoğan, ""Togg'u 2023'ün ilk çeyreğinin sonunda inşallah yollarda göreceğiz. Togg aracısız bir şekilde vatandaşlarla buluşacak. Vatandaşlar Togg siparişlerini Şubat'ta başlayan ön siparişle verebilecek. Sanıyorum Şubat ayında Togg'un fiyatı da açıklanacaktır"" diye konuştu.",2022-10-29,BloombergHT
Rusya tahıl koridoru anlaşmasına katılımını askıya aldı,Rusya Savunma Bakanlığı Kırım'da filolarına yönelik terörist bir saldırı gerçekleştirildiğini bildirerek Ukrayna'dan güvenli transit tahıl anlaşmasından çekileceklerini belirtti.,2022-10-29,BloombergHT
"""Türkiye'nin NATO için ne zaman onay vereceğini tahmin etmek imkansız""",Finlandiya Başbakanı Sanna Marin ülkesinin NATO üyeliğine onay sürecinde Türkiye ve Macaristan'ın ne zaman adım atacağını tahmin etmenin imkansız olduğunu ifade etti.,2022-10-29,BloombergHT
Lagarde'dan enflasyonla mücadele vurgusu,"Avrupa Merkez Bankası Başkanı Christine Lagarde, katıldığı canlı yayında enflasyonu alt etmenin bir görev, sorumluluk, düstur olduğunu belirtti.",2022-10-29,BloombergHT
Togg CEO'su Karakaş: Fiyat belli olmadı,"Togg CEO'su Karakaş, ""Fiyatlar belli değil, günümüz dünyasında hiçbir profesyonel şirket 5-6 ay sonrası için fiyat açıklamaz. 1. çeyreğin sonunda trafiğe çıkacağımız için ona göre planlıyoruz"" dedi.",2022-10-29,BloombergHT
"Musk, Twitter'a denetleme konseyi getiriyor","Elon Musk'ın Twitter anlaşmasının resmileşmesinin ardından açıklamaları devam ediyor. Musk, Twitter'ın bir içerik denetleme konseyi oluşturacağını belirtti.",2022-10-29,BloombergHT
Yasağa rağmen Londra'da Rus bakırına alıcı çıkıyor,Dünyanın en büyük emtia borsalarından biri olan London Metal Exchange (LME) tarafında Rus metallerine getirilen kısıtlama kararına rağmen Çinli alıcılar için sipariş alındığı belirtildi.,2022-10-29,BloombergHT
İş dünyasından Cumhuriyet mesajları,İş dünyası örgütleri Cumhuriyetin 99. yıldönümü dolayısıyla mesajlar yayımladı. Mesajlarda Cumhuriyet değerlerinin toplumsal ve ekonomik yaşam için hayati önemde olduğu vurgulandı.,2022-10-29,BloombergHT
7 başlıkla bu hafta nasıl geçti?,"Küresel piyasalarda geçtiğimiz hafta dikkatler ABD'den gelen bilançolara ve Avrupa Merkez Bankası faiz kararına çevrilirken, yurt içinde makro ekonomi gündemi öne çıktı. Geçen haftanın öne çıkan gelişmelerinden biri de Elon Musk'ın Twitter anlaşmasının tamamlanması oldu.",2022-10-29,BloombergHT
Ekonomi ve siyaset gündemi - 29 Ekim 2022,Ekonomi ve siyaset gündeminde öne çıkanlar...,2022-10-29,BloombergHT
"Cumhuriyet 99 yaşında: Nefesimiz, sesimiz, gururumuz","Cumhuriyetin ilanıyla bu topraklarda milletin sesi tek ses oldu. Türkiye'yi dönüştüren, yepyeni bir toplumsal yapı sunan, küresel düzeyde sınıf atlatan Cumhuriyet, Türkiye'nin gururu olurken 99 yıl boyunca Cumhuriyetin değerleri Türkiye'nin nefesi oldu.",2022-10-29,BloombergHT
Erdoğan: İnşallah enflasyonu kontrol altına alarak büyümeyi sürdüreceğiz,"Erdoğan, Ankara Spor Salonu'nda düzenlenen AK Parti ""Türkiye Yüzyılı"" Tanıtım Toplantısı'nda yaptığı konuşmada, geçen 20 yılda Türkiye'ye eğitimden sağlığa, adaletten emniyete, ulaştırmadan enerjiye, sanayiden tarıma her alanda tarihi eser ve hizmetler kazandırdıklarını belirtti.",2022-10-28,BloombergHT
Türkiye'nin 60 yıllık 'araba sevdası',Türkiye'de Devrim ile başlayan yerli otomobil üretim macerası TOGG ile en ileri aşamasına geçti. Togg'un arkasında 60 yılı aşan tarihiyle Türk mühendisliğinin birikimi bulunuyor. İşte Türkiye'de yerli otomobil üretiminin kilometre taşları...,2022-10-28,BloombergHT
ABD'de kişisel harcamalar Eylül'de beklentiyi aştı,"ABD'de kişisel tüketim harcamaları, Eylül'de yüzde 0,6 ile piyasa beklentilerinin üzerinde artış kaydetti.",2022-10-28,BloombergHT
Rusya Merkez Bankası faiz indirimlerine ara verdi,"Rusya Merkez Bankası savaşın başlamasından bu yana ilk kez politika faizini değiştirmeyerek yüzde 7,5'te tuttu. Banka böylece 6 toplantı üst üste yaptığı faiz indirimlerine ara verdi.",2022-10-28,BloombergHT
Fransa’da enerji krizine karşı yaklaşık 12 milyar euroluk yeni yardım,Fransa'da yüksek enerji faturalarına karşı şirketler ve belediyeler için maliyeti 12 milyar euroya varan yeni yardımlar yapılacak.,2022-10-28,BloombergHT
Alman ekonomisinde sürpriz büyüme,Avrupa’nın en büyük ekonomisi Almanya üçüncü çeyrekte sürpriz biçimde büyüdü.,2022-10-28,BloombergHT
"Binance, Musk ile birlikte Twitter’a yatırım yaptı","Dünyanın en büyük kripto varlık alım satım platformu olan Binance, sosyal medya ve haber sitelerini, web3 ile buluşturma stratejisinin bir parçası olarak, Elon Musk’ın 44 milyar dolarlık Twitter anlaşmasına 500 milyon dolar katkı sağladı ve Twitter yatırımcısı haline geldi.",2022-10-28,BloombergHT
AMB Üyesinden şahin mesaj,Avrupa Merkez Bankası (AMB) Yönetim Konseyi Üyesi Gediminas Simkus Euro Bölgesi’nde resesyon tehlikesine rağmen yılın son toplantısında da büyük montanlı faiz artışlarının sürmesi gerektiğini söyledi.,2022-10-28,BloombergHT
Tokyo’da enflasyon son 40 yılın en yükseğinde,"Tokyo'da Tüketici Fiyat Endeksi (TÜFE), enerji maliyetleri ve zayıf Japon yeni etkisiyle Ekim’de geçen yılın aynı dönemine kıyasla yüzde 3,5 yükseldi.",2022-10-28,BloombergHT
Altına karmaşık ABD verisi desteği,Altın bu hafta gelen karmaşık ABD verileri ve yatırımcıların Fed'in Kasım toplantısında önümüzdeki dönem sıkılaşma patikasına dair ipuçları elde edebileceği beklentisiyle art arda ikinci haftayı yükselişle kapatmaya hazırlanıyor.,2022-10-28,BloombergHT
TÜSİAD Başkanı: Regülasyonlarla bankaların kredi vermesi zorlaşıyor,"TÜSİAD Yönetim Kurulu Başkanı Orhan Turan, krediye erişimin her geçen gün zorlaştığını belirtti. Turan, ""Yoğun regülasyon döneminden geçen finansal kesimin de bu regülasyonlar çerçevesinde kredi vermesi daha da zorlaşıyor. Unutmayalım ki, sağlıklı işleyen üreten, istihdam yaratan bir reel kesimin arkasında bu süreci destekleyen sağlıklı işleyen bir finansal sektöre ihtiyaç var. Uyguladığımız politikaları dizayn ederken bu süreçleri göz önünde bulundurmalıyız"" diye konuştu.",2022-10-28,BloombergHT
Bilanço kasırgasında bir günde serveti eriyen zenginler,Teknoloji şirketlerinin oldukça karamsar beklentileri ve Meta'daki Metaverse riski teknoloji patronlarının servetlerini bir günde eritti. İşte bir günde serveti en çok eriyen patronlar...,2022-10-28,BloombergHT
Cumhuriyet'in yarattığı ekonomik dönüşüm,"Cumhuriyet'in ilanıyla tarım ağırlıklı, sınırlı ekonomik faaliyetler, savaş yorgunu ve düşük gelirli bir ülkeden yeni bir ekonomik modele geçişin de taşları döşendi. Bu yeni yönetim biçimi, 'on yılda her yaştan 15 milyon genç yaratılan', yalnız bir uçtan bir uca 'demir ağlarla örülmekle' kalınmayan, ekonomik olarak da bir dizi zorluğu aşmanın sınavını verdi. İktisat tarihçileri ve ekonomistler bu yeni ülkenin yeni ekonomik panoramasını Bloomberg HT için özetledi.",2022-10-28,BloombergHT
"Türkiye’nin doğalgaz ithalatı Ağustos’ta yüzde 7,6 azaldı","Türkiye'nin doğalgaz ithalatı, Ağustos'ta geçen yılın aynı ayına göre yüzde 7,62 azalarak yaklaşık 3 milyar 852 milyon metreküp oldu.",2022-10-28,BloombergHT
Japonya'da 199 milyar dolarlık enflasyonla mücadele paketi,"Japonya Başbakanı Fumio Kishida, enflasyonun etkisini hafifletmek için 29 trilyon yenlik (199 milyar dolar) ek bütçe talimatı verdi.",2022-10-28,BloombergHT
Serbest piyasada döviz açılış fiyatları (28.10.2022),"İstanbul serbest piyasada dolar 18,6080 liradan, euro 18,5640 liradan güne başladı.",2022-10-28,BloombergHT
Avrupa Merkez Bankası'nda sıkılaşma çatlağı,Resesyon endişelerine rağmen faizleri 2009'dan bu yana en yüksek seviyeye çıkaran Avrupa Merkez Bankası'nda faiz kararında oybirliğinin sağlanmadığı belirtildi. Banka içinde sıkılaşma patikası ve bilanço ile ilgili çatlaklar bulunuyor.,2022-10-28,BloombergHT
Dünyanın en büyük ikinci ekonomisi için büyüme beklentileri düşüyor,Çin ekonomisinde büyümenin ‘Sıfır Kovid’ politikasının oluşturduğu risk nedeniyle gelecek birkaç yıl yüzde 5’in altında kalması bekleniyor.,2022-10-28,BloombergHT
"Bakan Ersoy: Yıl sonu hedefimiz 50 milyon turist, 44 milyar dolar gelir","Kültür ve Turizm Bakanı Ersoy, ""Yıl sonu hedefimizi tekrar revize ediyoruz, 50 milyon turist 44 milyar dolar olarak yıl sonu hedefimizi tekrar yukarı yönlü revize etmiş oluyoruz."" dedi.",2022-10-28,BloombergHT
"AB, yeni benzinli ve dizel otomobilleri 2035'te yasaklıyor","Avrupa Birliği (AB) kurumları, yeni benzinli ve dizel otomobillerin satışlarının 2035'ten itibaren yasaklanmasında anlaşma sağladı.",2022-10-28,BloombergHT
Petrolde haftalık prim,Petrol piyasalarında bu hafta görece olarak zayıflayan dolar dolayısıyla prim kaydedildi. Piyasalarda Rus petrolüne yönelik tavanda esneklik konusu da gündemde ilk sıralarda yer aldı.,2022-10-28,BloombergHT
"TMSF, Alfemo'yu satıyor",Tasarruf Mevduat Sigorta Fonu (TMSF) Alfemo Mobilya Ticari ve İktisadi Bütünlüğü'nü satışa çıkardı.,2022-10-28,BloombergHT
Japonya Merkez Bankası faizi değiştirmedi,Japonya Merkez Bankası beklentilere paralel olarak faizlerde değişikliğe gitmedi,2022-10-28,BloombergHT
Japon şirketlere dijital cüzdanlara maaş ödeme fırsatı verilecek,"Japon hükümeti, nakit dışı ödemeleri teşvik amacıyla şirketlere, maaşları dijital cüzdan vasıtasıyla ödemelerine izin verecek.",2022-10-28,BloombergHT
Musk nihayet tweet'ledi,Tesla ve SpaceX'in Üst Yöneticisi Elon Musk'ın sosyal medya şirketi Twitter'ı 44 milyar dolara satın alma sürecinin tamamlandığı bildirildi.,2022-10-28,BloombergHT
Yellen: Ekonominin direnci büyüme verisiyle kanıtlanmıştır,ABD Hazine Bakanı Yellen ekonominin direncinin büyüme verisiyle kanıtlandığını söyledi.,2022-10-28,BloombergHT
ABD'li teknoloji devleri bilançolarını açıkladı,"ABD'nin önde gelen teknoloji şirketlerinden Apple ve Amazon'un geliri temmuz-eylül döneminde artarken, Intel'in geliri azalış kaydetti.",2022-10-28,BloombergHT
Ekonomi ve siyaset gündemi - 28 Ekim 2022,Ekonomi ve siyaset gündeminde öne çıkanlar...,2022-10-28,BloombergHT
